time,job_id,num_gpu,submit_time,start_time,end_time,executed_time,JCT,duration,pending_time,preempt,preemption_overhead,promote
6882730,1070,4,6243632,6243703,6882730,639027,639098,262209,376889,9,270,0
6967504,1059,4,6243502,6243565,6967504,723939,724002,317122,406880,12,240,0
6992327,965,4,4869535,4869540,6992327,2122787,2122792,262675,1860117,3,150,0
7039270,165,2,961191,961191,7039270,6078079,6078079,529821,5548258,11,110,0
7115769,836,1,3028121,3028121,7115769,4087648,4087648,733634,3354014,22,1320,0
7124282,1119,4,6244298,6244298,7124282,879984,879984,251113,628871,8,400,0
7233630,1135,2,7184875,7184875,7233630,48755,48755,48755,0,0,0,0
7235695,726,1,3027868,3027868,7235695,4207827,4207827,852768,3355059,28,560,0
7255599,790,1,3028025,3028025,7255599,4227574,4227574,1008086,3219488,29,580,0
7264202,1136,2,7184879,7184879,7264202,79323,79323,79323,0,0,0,0
7281169,988,4,5212918,5213711,7281169,2067458,2068251,164651,1903600,1,60,0
7288725,540,4,2394763,2394767,7288725,4893958,4893962,256417,4637545,8,160,0
7310234,323,1,1838303,1838303,7310234,5471931,5471931,551267,4920664,5,300,0
7338916,1134,2,7184871,7184871,7338916,154045,154045,154045,0,0,0,0
7341080,665,1,3027622,3027622,7341080,4313458,4313458,581854,3731604,20,400,0
7352542,1152,8,7351008,7351019,7352542,1523,1534,1119,415,1,40,0
7353086,1156,8,7351029,7351034,7353086,2052,2057,1009,1048,1,60,0
7353440,1147,8,7350898,7350914,7353440,2526,2542,1410,1132,3,120,0
7354288,1158,8,7351039,7351039,7354288,3249,3249,1995,1254,2,20,0
7354390,1155,8,7351023,7351029,7354390,3361,3367,1571,1796,3,120,0
7354704,1153,8,7351013,7351019,7354704,3685,3691,1891,1800,4,240,0
7357110,1164,8,7351071,7351071,7357110,6039,6039,4291,1748,3,150,0
7357441,1143,8,7350869,7350869,7357441,6572,6572,4583,1989,3,120,0
7359679,1145,8,7350880,7350898,7359679,8781,8799,4828,3971,3,90,0
7359817,1159,8,7351045,7351045,7359817,8772,8772,5112,3660,3,60,0
7360304,1168,8,7351091,7351091,7360304,9213,9213,7425,1788,4,200,0
7361092,1149,8,7350914,7350920,7361092,10172,10178,6235,3943,3,150,0
7363024,1163,8,7351065,7351065,7363024,11959,11959,8683,3276,5,100,0
7380524,1161,8,7351055,7351055,7380524,29469,29469,25637,3832,4,120,0
7384753,1166,8,7351081,7351081,7384753,33672,33672,29851,3821,4,240,0
7388250,1150,8,7350920,7351003,7388250,37247,37330,28832,8498,5,150,0
7388488,1148,8,7350909,7350914,7388488,37574,37579,33631,3948,3,90,0
7391973,1167,8,7351086,7351086,7391973,40887,40887,37338,3549,4,40,0
7396779,1146,8,7350891,7350909,7396779,45870,45888,41928,3960,4,80,0
7397181,1176,1,7363821,7363821,7397181,33360,33360,33360,0,0,0,0
7420588,318,1,1838250,1838250,7420588,5582338,5582338,623150,4959188,5,300,0
7555135,1169,8,7351095,7351095,7555135,204040,204040,185505,18535,5,100,0
7600707,1180,1,7363956,7363956,7600707,236751,236751,236751,0,0,0,0
7701621,205,2,961332,961332,7701621,6740289,6740289,613342,6126947,12,120,0
7756165,332,1,1838397,1838397,7756165,5917768,5917768,960583,4957185,9,270,0
7762120,700,1,3027720,3027720,7762120,4734400,4734400,1029324,3705076,29,1160,0
7778295,722,1,3027860,3027860,7778295,4750435,4750435,1043335,3707100,29,1160,0
7841256,3,1,6,6,7841256,7841250,7841250,1104675,6736575,10,200,0
7850242,23,1,44500,44500,7850242,7805742,7805742,1058998,6746744,10,400,0
8014052,643,1,3027432,3027432,8014052,4986620,4986620,1210358,3776262,24,1440,0
8053834,1050,4,6243360,6243404,8053834,1810430,1810474,301954,1508520,9,180,0
8078021,144,2,961118,961118,8078021,7116903,7116903,552591,6564312,11,330,0
8122082,994,2,5560640,5560640,8122082,2561442,2561442,580610,1980832,3,60,0
8135718,913,4,4387854,4387864,8135718,3747854,3747864,118596,3629268,1,40,0
