job_id,model_name,duration,submit_time,num_gpu,,,
748,d,30570195,3027919,1,,,
749,c,87573,3027919,1,,,
750,d,15251975,3027923,1,,,
751,e,13302256,3027923,1,,,
752,d,2072895,3027926,1,,,
753,f,968723,3027927,1,,,
754,e,9900317,3027930,1,,,
755,d,115229,3027931,1,,,
756,d,63517,3027935,1,,,
757,f,117825,3027937,1,,,
758,d,25911695,3027939,1,,,
759,c,101349,3027943,1,,,
760,c,26946758,3027949,1,,,
761,f,305467,3027957,1,,,
762,b,25757153,3027957,1,,,
763,d,2167755,3027961,1,,,
764,a,5206422,3027961,1,,,
765,b,2841341,3027965,1,,,
766,f,279548,3027966,1,,,
767,c,11835233,3027969,1,,,
768,e,286963,3027969,1,,,
769,b,8049318,3027972,1,,,
770,e,5011128,3027973,1,,,
771,b,273283,3027980,1,,,
772,b,7770336,3027981,1,,,
773,a,4743023,3027984,1,,,
774,c,270847,3027984,1,,,
775,b,93306,3027988,1,,,
776,c,2626315,3027988,1,,,
777,d,94878,3027992,1,,,
778,b,11870304,3027993,1,,,
779,d,747261,3027995,1,,,
780,e,1246827,3027999,1,,,
781,d,257730,3028003,1,,,
782,e,72198,3028004,1,,,
783,a,248043,3028008,1,,,
784,f,11137876,3028008,1,,,
785,e,23760525,3028012,1,,,
786,d,1539075,3028015,1,,,
787,b,66879,3028016,1,,,
788,f,301247,3028019,1,,,
789,a,5164858,3028019,1,,,
790,b,1008086,3028025,1,,,
791,d,5173315,3028025,1,,,
792,a,3085903,3028029,1,,,
793,c,984253,3028029,1,,,
794,a,54335,3028033,1,,,
795,b,7821038,3028033,1,,,
796,a,895346,3028037,1,,,
797,e,895174,3028040,1,,,
798,b,1586681,3028041,1,,,
799,f,7074462,3028044,1,,,
800,d,499102,3028045,1,,,
801,b,828064,3028049,1,,,
802,c,4219731,3028049,1,,,
803,d,3763461,3028053,1,,,
804,f,1404159,3028055,1,,,
805,e,814807,3028056,1,,,
806,d,6308479,3028059,1,,,
807,f,808229,3028060,1,,,
808,e,35702,3028063,1,,,
809,f,35647,3028064,1,,,
810,d,46022,3028066,1,,,
811,a,2210896,3028068,1,,,
812,b,43938,3028070,1,,,
813,b,5079055,3028071,1,,,
814,d,798203,3028074,1,,,
815,a,560867,3028075,1,,,
816,a,30943,3028078,1,,,
817,b,4105939,3028079,1,,,
818,a,2247952,3028081,1,,,
819,c,269228,3028082,1,,,
820,f,821169,3028085,1,,,
821,c,800507,3028086,1,,,
822,b,338904,3028090,1,,,
823,b,1210561,3028090,1,,,
824,a,4880655,3028094,1,,,
825,d,268564,3028095,1,,,
826,b,15202,3028099,1,,,
827,d,76969,3028099,1,,,
828,b,442860,3028104,1,,,
829,c,935385,3028108,1,,,
830,a,193471,3028108,1,,,
831,c,110395,3028112,1,,,
832,d,115259,3028113,1,,,
833,b,1397982,3028116,1,,,
834,f,82880,3028117,1,,,
835,e,85410,3028120,1,,,
836,f,733634,3028121,1,,,
837,b,2126,3028125,1,,,
838,e,79205,3028126,1,,,
839,f,110848,3028130,1,,,
840,c,459529,3028131,1,,,
841,e,310023,3028134,1,,,
842,e,36738,3028136,1,,,
843,d,130728,3028139,1,,,
844,a,96682,3028157,1,,,
